2011-10-11 14:19:19 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20902 
2011-10-11 14:19:19 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20904 
2011-10-11 14:19:19 | error | E_WARNING | Division by zero | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20904 
2011-10-11 14:19:19 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20906 
2011-10-11 14:19:19 | error | E_WARNING | array_fill(): Number of elements must be positive | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20906 
2011-10-11 14:32:15 | debug | debug | 14 |  
2011-10-11 14:32:33 | debug | debug | 14 |  
2011-10-11 14:33:07 | debug | debug | 15 |  
2011-10-11 14:33:08 | debug | debug | 14 |  
2011-10-11 14:34:50 | debug | debug | 15 |  
2011-10-11 14:34:51 | debug | debug | 15 |  
2011-10-11 14:38:58 | debug | debug | 16 |  
2011-10-11 14:38:59 | debug | debug | 0 |  
2011-10-11 14:39:15 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20902 
2011-10-11 14:39:15 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20904 
2011-10-11 14:39:15 | error | E_WARNING | Division by zero | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20904 
2011-10-11 14:39:15 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20906 
2011-10-11 14:39:15 | error | E_WARNING | array_fill(): Number of elements must be positive | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20906 
2011-10-11 14:39:15 | error | E_NOTICE | Undefined variable: COD_I | D:\xampp\htdocs\aukon\ultimo\NaNbPDF.php:399 
2011-10-11 14:42:55 | debug | debug | 16 |  
2011-10-11 14:42:56 | debug | debug | 0 |  
2011-10-11 14:43:08 | debug | debug | 
		SELECT *
		FROM AMOVSTOC  
		WHERE TIP = 'B' AND TCO = 'NA' AND PVE = 149 AND NCO = 102  AND CYV = 'C' 
		ORDER BY FEC DESC |  
2011-10-11 14:43:08 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20902 
2011-10-11 14:43:08 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20904 
2011-10-11 14:43:08 | error | E_WARNING | Division by zero | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20904 
2011-10-11 14:43:08 | error | E_NOTICE | Undefined index: cols | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20906 
2011-10-11 14:43:08 | error | E_WARNING | array_fill(): Number of elements must be positive | D:\xampp\htdocs\aukon\ultimo\ImpPDF\tcpdf\tcpdf.php:20906 
2011-10-11 14:43:08 | error | E_NOTICE | Undefined variable: COD_I | D:\xampp\htdocs\aukon\ultimo\NaNbPDF.php:397 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
2011-10-12 12:24:15 | error | E_NOTICE | Undefined variable: tn | D:\xampp\htdocs\aukon\ultimo\NaNbListaIzq.php:209 
